lr,batch_size,num_epochs,train_time_s,run_time_s,accuracy,precision_parasitic,recall_parasitic,f1_parasitic,f1_macro,confusion_matrix,model_path
0.01,16,2,149.36632442474365,325.6128742694855,0.9177336581825721,0.9407987811513766,0.8923410404624278,0.9159294379403506,0.9176957517029842,"[[9059, 544], [1043, 8645]]",models/shufflenet_lr0.01_bs16_ep2_run1.pt
0.01,16,3,241.31803393363953,425.4118621349335,0.9225027214763362,0.9036358261897723,0.9466350123864574,0.9246357816202047,0.9224405901966054,"[[8625, 978], [517, 9171]]",models/shufflenet_lr0.01_bs16_ep3_run2.pt
0.01,16,5,404.90605330467224,591.8537917137146,0.9285677258825359,0.9338972431077694,0.9231007431874484,0.928467607973422,0.9285675859517177,"[[8970, 633], [745, 8943]]",models/shufflenet_lr0.01_bs16_ep5_run3.pt
0.001,16,2,166.65966367721558,342.89031171798706,0.8862163703281323,0.8807031805710802,0.8946118909991743,0.8876030518715756,0.886199048635625,"[[8429, 1174], [1021, 8667]]",models/shufflenet_lr0.001_bs16_ep2_run4.pt
0.001,16,3,248.89037489891052,442.59800839424133,0.8922813747343321,0.8769566078858728,0.9137076796036334,0.8949550096046911,0.892211547355537,"[[8361, 1242], [836, 8852]]",models/shufflenet_lr0.001_bs16_ep3_run5.pt
0.001,16,5,420.68259835243225,617.4190793037415,0.9048260847027111,0.9020893076607948,0.9091659785301404,0.905613818630475,0.9048194550549133,"[[8647, 956], [880, 8808]]",models/shufflenet_lr0.001_bs16_ep5_run6.pt
0.0001,16,2,169.69254565238953,365.80561900138855,0.8411694572598621,0.8834220884463996,0.7876754748142032,0.8328058496125723,0.8407710132739007,"[[8596, 1007], [2057, 7631]]",models/shufflenet_lr0.0001_bs16_ep2_run7.pt
0.0001,16,3,249.98674988746643,442.9650948047638,0.8445907417966928,0.8828107118333715,0.796242774566474,0.837295126451753,0.8442776485602682,"[[8579, 1024], [1974, 7714]]",models/shufflenet_lr0.0001_bs16_ep3_run8.pt
0.0001,16,5,417.3082387447357,610.7558357715607,0.8523663884713079,0.8690913015324844,0.8312345169281585,0.849741479371109,0.8523213204884891,"[[8390, 1213], [1635, 8053]]",models/shufflenet_lr0.0001_bs16_ep5_run9.pt
0.01,32,2,152.887305021286,329.69507336616516,0.9220361826758592,0.9080574391703231,0.9399256812551611,0.9237167782511666,0.9219983233988791,"[[8681, 922], [582, 9106]]",models/shufflenet_lr0.01_bs32_ep2_run10.pt
0.01,32,3,229.74823188781738,407.16482496261597,0.9269607589031155,0.9165744188386837,0.9401321222130471,0.928203821656051,0.9269388576023041,"[[8774, 829], [580, 9108]]",models/shufflenet_lr0.01_bs32_ep3_run11.pt
0.01,32,5,396.82638454437256,583.7847511768341,0.9336478150432844,0.9313564539298174,0.9369322873658134,0.9341360502212617,0.9336441688332129,"[[8934, 669], [611, 9077]]",models/shufflenet_lr0.01_bs32_ep5_run12.pt
0.001,32,2,152.4745638370514,318.51233768463135,0.8835208128142658,0.9007000538502962,0.8632328654004955,0.8815685447741527,0.883489152799132,"[[8681, 922], [1325, 8363]]",models/shufflenet_lr0.001_bs32_ep2_run13.pt
0.001,32,3,227.12865257263184,408.2006688117981,0.8893266289979783,0.8777633289986996,0.9057597027250206,0.8915417830835661,0.889280443322489,"[[8381, 1222], [913, 8775]]",models/shufflenet_lr0.001_bs32_ep3_run14.pt
0.001,32,5,382.78412890434265,556.1793019771576,0.9038930071017574,0.9069187616870974,0.9011147811725846,0.9040074557315937,0.9038928704856848,"[[8707, 896], [958, 8730]]",models/shufflenet_lr0.001_bs32_ep5_run15.pt
0.0001,32,2,151.90276861190796,332.66932582855225,0.7921310455652895,0.9243647234678625,0.6383154417836499,0.7551593601172304,0.7872806348415372,"[[9097, 506], [3504, 6184]]",models/shufflenet_lr0.0001_bs32_ep2_run16.pt
0.0001,32,3,225.41887140274048,398.8718726634979,0.827899020268519,0.91972053783285,0.7201692815854666,0.8078036355215932,0.8259968055588067,"[[8994, 609], [2711, 6977]]",models/shufflenet_lr0.0001_bs32_ep3_run17.pt
0.0001,32,5,374.25354862213135,549.9712688922882,0.8518480120263335,0.8878918673330305,0.8068744838976053,0.845446679645252,0.8515934244418395,"[[8616, 987], [1871, 7817]]",models/shufflenet_lr0.0001_bs32_ep5_run18.pt
0.01,64,2,152.54043292999268,330.48388838768005,0.9203773780519413,0.9120501415285079,0.9312551610239471,0.9215526046986721,0.920359504117571,"[[8733, 870], [666, 9022]]",models/shufflenet_lr0.01_bs64_ep2_run19.pt
0.01,64,3,230.91679978370667,408.618008852005,0.9259758436576642,0.9235897435897436,0.9295004128819158,0.9265356518160305,0.9259715450889596,"[[8858, 745], [683, 9005]]",models/shufflenet_lr0.01_bs64_ep3_run20.pt
0.01,64,5,390.1179852485657,571.9771468639374,0.9302265305064538,0.9388678451178452,0.9210363336085879,0.9298666110879533,0.9302246928570246,"[[9022, 581], [765, 8923]]",models/shufflenet_lr0.01_bs64_ep5_run21.pt
0.001,64,2,156.79619431495667,340.53624868392944,0.8725830698253071,0.8584176085663295,0.893682906688687,0.8756953575402043,0.8725031445293536,"[[8175, 1428], [1030, 8658]]",models/shufflenet_lr0.001_bs64_ep2_run22.pt
0.001,64,3,229.72238969802856,406.6668074131012,0.8834689751697683,0.883426097711812,0.8847027250206441,0.8840639504899432,0.8834659060494735,"[[8472, 1131], [1117, 8571]]",models/shufflenet_lr0.001_bs64_ep3_run23.pt
0.001,64,5,380.8779881000519,560.0245661735535,0.8952361204706858,0.8859357696566998,0.9083402146985962,0.8969981142653279,0.8952054544745763,"[[8470, 1133], [888, 8800]]",models/shufflenet_lr0.001_bs64_ep5_run24.pt
0.0001,64,2,153.28193378448486,330.0364339351654,0.7601472189103727,0.9468479604449939,0.5534682080924855,0.6985864113087096,0.749706446582425,"[[9302, 301], [4326, 5362]]",models/shufflenet_lr0.0001_bs64_ep2_run25.pt
0.0001,64,3,230.67034697532654,407.50856947898865,0.7889171116064486,0.9420654911838791,0.6176713459950454,0.7461346633416459,0.7827470406584904,"[[9235, 368], [3704, 5984]]",models/shufflenet_lr0.0001_bs64_ep3_run26.pt
0.0001,64,5,376.86198592185974,554.3962495326996,0.8361412057436111,0.909524407077425,0.7481420313790256,0.8209775159993203,0.8349570973067091,"[[8882, 721], [2440, 7248]]",models/shufflenet_lr0.0001_bs64_ep5_run27.pt
